"pval"	"apval"	"SBS1"	"SBS5"	"SBS18"	"SBS31"
"SAMPLE_SBS31_1580_29"	6.16385403019584e-85	1.97243328966267e-80	77.1391076688102	354.349426962352	0	1799.51146536884
"SAMPLE_SBS31_1590_54"	6.83787902114557e-85	2.18812128676658e-80	73.1661812753309	448.891036091028	0	1709.94278263364
"SAMPLE_SBS31_1595_39"	1.17651162048236e-84	3.76483718554356e-80	92.3238513362735	412.313222251118	74.2171029814531	1652.14582343116
"SAMPLE_SBS31_1575_79"	1.4049478665198e-84	4.49583317286337e-80	70.9837004693962	357.754388474597	123.921414213004	1678.340496843
"SAMPLE_SBS31_1590_71"	2.24480889222709e-84	7.18338845512668e-80	74.4107990249033	369.975860007663	93.4712517608021	1694.14208920663
"SAMPLE_SBS31_1595_4"	3.88969954180667e-84	1.24470385337813e-79	81.6484268087286	354.676690741386	54.8425586278249	1739.83232382206
"SAMPLE_SBS31_1590_30"	4.36360184935507e-84	1.39635259179362e-79	74.189746828074	371.067332129239	63.380488521729	1723.36243252096
"SAMPLE_SBS31_1595_65"	1.68663743968206e-83	5.39723980698259e-79	86.7441010884316	383.740498109159	70.7952781781287	1689.72012262428
"SAMPLE_SBS31_1595_20"	1.93173948207823e-83	6.18156634265033e-79	68.8812326719139	383.352941658187	61.0760922105684	1717.68973345933
"SAMPLE_SBS31_1570_75"	2.41206892001152e-83	7.71862054403685e-79	86.6702077625518	369.170381873186	84.350803141327	1690.80860722294
"SAMPLE_SBS31_1595_42"	7.7023958564952e-83	2.46476667407846e-78	64.9883391253819	468.780188061253	60.9389405993466	1636.29253221402
"SAMPLE_SBS31_1570_1"	7.94061986499165e-83	2.54099835679733e-78	92.6061033053818	432.089891716621	80.4341760922775	1625.86982888572
"SAMPLE_SBS31_1545_47"	9.51465939075239e-83	3.04469100504077e-78	88.6033145748246	337.515781641287	88.020150311038	1716.86075347285
"SAMPLE_SBS31_1590_72"	1.15318790138337e-82	3.69020128442679e-78	66.9614556180484	411.302583288629	81.2278165302836	1672.50814456304
"SAMPLE_SBS31_1560_63"	1.64373521468731e-82	5.2599526869994e-78	75.7979039518208	376.902111309764	83.1382179652487	1694.16176677317
"SAMPLE_SBS31_1580_8"	2.63315893566494e-82	8.42610859412782e-78	75.7043817116803	344.973034472322	63.6640787801932	1746.6585050358
"SAMPLE_SBS31_1595_74"	3.05890782744815e-82	9.78850504783408e-78	64.902047609009	425.348582266841	62.5672988178697	1678.18207130628
"SAMPLE_SBS31_1560_96"	3.90962409299311e-82	1.25107970975779e-77	80.3695395018975	427.276699921037	82.3256428875314	1640.02811768953
"SAMPLE_SBS31_1560_15"	4.03781584757144e-82	1.29210107122286e-77	64.4765780877573	441.546571740802	0	1723.97685017144
"SAMPLE_SBS31_1595_61"	4.63234365940014e-82	1.48234997100805e-77	82.0539712484394	444.770670908661	73.35149602703	1630.82386181587
"SAMPLE_SBS31_1560_13"	6.61238449204674e-82	2.11596303745496e-77	71.0807127879453	379.052937648817	62.4215429437804	1717.44480661946
"SAMPLE_SBS31_1575_12"	6.95717348225666e-82	2.22629551432213e-77	84.27923817014	343.254394177008	107.065181471784	1696.40118618107
"SAMPLE_SBS31_1595_94"	1.03333984622939e-81	3.30668750793406e-77	80.3851889217378	403.914293007318	71.3282701409262	1675.37224793002
"SAMPLE_SBS31_1590_66"	1.27782680825879e-81	4.08904578642812e-77	79.1778276037124	391.78560957556	127.837629308503	1633.19893351222
"SAMPLE_SBS31_1580_5"	1.44966558357811e-81	4.63892986744997e-77	106.536025000842	371.22777043584	116.487461289606	1636.74874327371
"SAMPLE_SBS31_1585_54"	2.05220137617087e-81	6.56704440374678e-77	88.0843758261356	465.643830455961	62.9428583823345	1613.32893533557
