"pval"	"apval"	"SBS5"	"SBS40"	"SBS45"	"SBS31"
"SAMPLE_SBS31_495_71"	3.5804140500282e-43	3.5804140500282e-39	0	249.235316291775	69.1567073905432	623.607976317681
"SAMPLE_SBS31_495_12"	3.01841598997282e-40	3.01841598997282e-36	119.885896635961	201.606756083991	69.0649786174081	551.44236866264
"SAMPLE_SBS31_495_65"	3.85028850344284e-40	3.85028850344284e-36	132.649960824201	193.911443878796	76.9424026370707	538.496192659931
"SAMPLE_SBS31_480_63"	4.34825323003928e-40	4.34825323003928e-36	0	261.579430826905	58.1810896317817	621.239479541313
"SAMPLE_SBS31_490_29"	6.81051743877166e-40	6.81051743877166e-36	3.45868323093885e-24	302.312891502554	39.2501014117745	599.437007085672
"SAMPLE_SBS31_495_8"	1.02721413811495e-39	1.02721413811495e-35	0	280.919158275051	66.663418696015	594.417423028934
"SAMPLE_SBS31_495_97"	1.19311149477556e-39	1.19311149477556e-35	179.278724259464	131.58608837727	85.7984754437809	545.336711919485
"SAMPLE_SBS31_495_92"	3.92448793924095e-39	3.92448793924095e-35	0	239.373235886472	59.5161393913901	643.110624722138
"SAMPLE_SBS31_475_13"	4.70515769022599e-39	4.70515769022599e-35	0	255.382746335782	62.7748540416944	623.842399622524
"SAMPLE_SBS31_450_3"	5.56237556554277e-39	5.56237556554277e-35	161.489351188216	171.269328081672	100.002596244608	509.238724485504
"SAMPLE_SBS31_480_31"	8.70297605640544e-39	8.70297605640543e-35	0	327.753603801649	71.007610884434	542.238785313917
"SAMPLE_SBS31_490_76"	1.60860903151362e-38	1.60860903151362e-34	160.67343618831	155.058761953102	91.8260393822409	533.441762476347
"SAMPLE_SBS31_495_14"	1.79794098135309e-38	1.79794098135309e-34	129.209570601779	181.009985972622	77.6075458646638	554.172897560936
"SAMPLE_SBS31_495_58"	1.83371703259346e-38	1.83371703259346e-34	0	265.208155821511	77.2365380046165	599.555306173873
"SAMPLE_SBS31_465_87"	1.98041514786636e-38	1.98041514786636e-34	0	313.1884488451	68.5825401246678	560.229011030232
"SAMPLE_SBS31_480_46"	2.56442445762807e-38	2.56442445762807e-34	0	256.386552290178	63.8740922745818	620.73935543524
"SAMPLE_SBS31_490_61"	5.22936273328737e-38	5.22936273328737e-34	0	277.238287062828	73.3774451681295	590.384267769042
"SAMPLE_SBS31_470_95"	5.26072544775054e-38	5.26072544775054e-34	0	282.674841558853	65.191186060162	594.133972380985
"SAMPLE_SBS31_495_13"	5.36352835785245e-38	5.36352835785245e-34	186.039791379074	130.359943561907	82.3588757654034	543.241389293616
"SAMPLE_SBS31_490_49"	5.40832669387578e-38	5.40832669387578e-34	183.571413099761	157.276031590357	84.0119789827975	516.140576327085
"SAMPLE_SBS31_495_33"	5.92039886196631e-38	5.92039886196631e-34	177.473658479002	140.016424299581	94.9028571434461	529.607060077971
"SAMPLE_SBS31_480_70"	6.04443929682768e-38	6.04443929682768e-34	130.648317936851	178.178565099245	96.2434760711585	535.929640892746
"SAMPLE_SBS31_495_37"	6.09936531376368e-38	6.09936531376368e-34	145.034399714611	182.787668742139	95.721432013079	518.45649953017
"SAMPLE_SBS31_435_18"	7.89268124371491e-38	7.89268124371491e-34	198.98247585556	159.913334579366	57.0634630261628	527.04072653891
"SAMPLE_SBS31_495_7"	8.75748850633806e-38	8.75748850633806e-34	114.370503530633	204.134725705731	73.1939872808941	550.300783482742
"SAMPLE_SBS31_495_96"	9.40975393787651e-38	9.40975393787651e-34	176.553724736438	178.629782264094	80.582423044111	506.234069955357
"SAMPLE_SBS31_495_44"	9.78668514879424e-38	9.78668514879424e-34	117.471946143706	200.763833767897	78.2559830493421	545.508237039055
"SAMPLE_SBS31_450_94"	1.0406573470802e-37	1.0406573470802e-33	0	288.62154469006	82.381627683222	570.996827626718
"SAMPLE_SBS31_485_83"	1.16679002351786e-37	1.16679002351785e-33	167.564864900885	179.160547177073	78.5502868967873	516.724301025254
"SAMPLE_SBS31_490_89"	1.3938808425787e-37	1.3938808425787e-33	169.748509455538	180.701246654427	70.6709635824076	519.879280307627
"SAMPLE_SBS31_490_24"	1.5190881574028e-37	1.5190881574028e-33	0	336.552487100861	57.6199409812624	546.827571917877
"SAMPLE_SBS31_485_23"	1.63997167039058e-37	1.63997167039058e-33	152.346420137883	216.558242412203	60.7033943235173	512.391943126397
"SAMPLE_SBS31_495_77"	2.08927968402369e-37	2.08927968402369e-33	185.768609525624	143.233853239463	77.08009664067	535.917440594243
"SAMPLE_SBS31_495_26"	2.10668140248975e-37	2.10668140248975e-33	178.035578665087	187.467590094193	60.4784462713358	516.018384969384
"SAMPLE_SBS31_485_24"	2.11555152691388e-37	2.11555152691388e-33	203.320509865885	116.887078348826	80.4164134913477	541.375998293942
"SAMPLE_SBS31_490_22"	2.2640333235685e-37	2.2640333235685e-33	147.514719173173	210.823717547031	62.343836433825	520.317726845971
"SAMPLE_SBS31_490_99"	2.33018555115614e-37	2.33018555115614e-33	0	285.809416415956	82.0094351117777	573.181148472266
"SAMPLE_SBS31_485_20"	2.42008387483347e-37	2.42008387483347e-33	0	314.799685397617	54.2323130459227	572.96800155646
"SAMPLE_SBS31_485_89"	2.48438006491415e-37	2.48438006491415e-33	126.697520219296	180.68329528497	100.810852857991	533.808331637743
"SAMPLE_SBS31_485_13"	2.5929500470688e-37	2.5929500470688e-33	0	321.258249191234	74.0730009256333	546.668749883133
"SAMPLE_SBS31_460_12"	2.63451303444804e-37	2.63451303444804e-33	153.266974024262	131.960694832948	77.4112923835181	579.361038759273
"SAMPLE_SBS31_475_76"	2.68403602985524e-37	2.68403602985524e-33	0	292.52899646971	72.8994140179627	576.571589512327
"SAMPLE_SBS31_485_99"	3.40419470549701e-37	3.40419470549701e-33	159.681689988619	189.763753721057	61.9921083131221	530.562447977202
"SAMPLE_SBS31_495_63"	3.54943452492385e-37	3.54943452492385e-33	0	258.101975506376	69.5249569689938	614.373067524631
"SAMPLE_SBS31_480_10"	3.5713069246707e-37	3.5713069246707e-33	135.680117894214	143.328589305932	73.3332301905154	588.658062609338
"SAMPLE_SBS31_495_24"	3.75518818209206e-37	3.75518818209206e-33	0	299.559121155999	60.1788997221986	582.261979121803
