"pval"	"apval"	"SBS1"	"SBS40"	"SBS31"
"SAMPLE_SBS31_490_59"	1.02998973588976e-54	1.02998973588976e-50	10.4826996484804	214.92881747234	550.58848287918
"SAMPLE_SBS31_485_8"	3.25254966721604e-53	3.25254966721604e-49	0	228.832039605661	547.167960394339
"SAMPLE_SBS31_495_54"	7.29687304370635e-53	7.29687304370635e-49	14.5311985978805	245.112076572409	516.356724829711
"SAMPLE_SBS31_490_84"	1.70359130187234e-52	1.70359130187234e-48	0	234.205999514868	541.794000485132
"SAMPLE_SBS31_495_9"	5.50961510425379e-52	5.50961510425379e-48	0	217.660539058597	558.339460941403
"SAMPLE_SBS31_490_25"	7.16037258160294e-52	7.16037258160294e-48	11.8111042367074	237.244197854759	526.944697908534
"SAMPLE_SBS31_485_37"	1.35019083298737e-51	1.35019083298737e-47	0	227.186488362066	548.813511637933
"SAMPLE_SBS31_495_8"	1.52376189643751e-51	1.52376189643751e-47	13.185730855024	226.325266440141	536.489002704835
"SAMPLE_SBS31_495_19"	1.90443673923171e-51	1.90443673923171e-47	0	205.473059286229	570.526940713771
"SAMPLE_SBS31_480_38"	2.06072444892876e-51	2.06072444892876e-47	14.0972649616939	258.778300295889	503.124434742417
"SAMPLE_SBS31_485_42"	2.13775926929658e-51	2.13775926929658e-47	15.1213379357377	229.833909699876	531.044752364387
"SAMPLE_SBS31_495_5"	3.37700385636796e-51	3.37700385636796e-47	0	208.368769332528	567.631230667472
"SAMPLE_SBS31_495_84"	4.03187630573307e-51	4.03187630573307e-47	11.9231948735625	248.229773384887	515.84703174155
"SAMPLE_SBS31_485_95"	4.63418530457081e-51	4.63418530457081e-47	11.7127583963607	220.284977722555	544.002263881085
"SAMPLE_SBS31_475_41"	5.33282180086321e-51	5.33282180086321e-47	12.2055211185936	223.35472584628	540.439753035126
"SAMPLE_SBS31_495_55"	5.65414374599561e-51	5.65414374599561e-47	0	210.405622707592	565.594377292408
"SAMPLE_SBS31_480_69"	6.70424291871373e-51	6.70424291871373e-47	0	217.148191356235	558.851808643765
"SAMPLE_SBS31_490_45"	8.53556745222493e-51	8.53556745222493e-47	12.6743883055219	267.76709741014	495.558514284338
"SAMPLE_SBS31_495_29"	1.49373681520957e-50	1.49373681520957e-46	14.4871600175059	234.473092776007	527.039747206487
"SAMPLE_SBS31_490_44"	1.53435328132966e-50	1.53435328132966e-46	0	197.452747330721	578.547252669279
"SAMPLE_SBS31_490_89"	1.61292254312177e-50	1.61292254312177e-46	0	232.464620750254	543.535379249746
