"pval"	"apval"	"SBS5"	"SBS18"	"SBS40"	"SBS31"
"SAMPLE655"	0.00452546649177759	1	303.894713304304	269.984399044902	420.966364722072	111.154522928722
"SAMPLE364"	0.0242392539382624	1	325.758997040466	245.902892090907	454.458740692075	79.8793701765525
"SAMPLE841"	0.041963928660884	1	286.891846988657	320.508162988175	434.14845754427	64.4515324788975
"SAMPLE552"	0.0542729910357209	1	273.232802235477	315.375674249517	517.391523515006	0
"SAMPLE170"	0.0568110380804308	1	258.355481521262	269.426172009354	578.218346469384	0
"SAMPLE96"	0.0569882847032874	1	368.100701210347	315.301167725129	422.598131064524	0
"SAMPLE193"	0.063915844085341	1	339.149944455276	292.755369396642	474.094686148083	0
"SAMPLE470"	0.0698815510594802	1	325.484287410707	250.344163999807	530.171548589486	0
"SAMPLE979"	0.0774636190187006	1	213.454563781509	247.256936982524	645.288499235968	0
"SAMPLE521"	0.103636856863909	1	344.823628598955	284.716756160446	476.459615240599	0
"SAMPLE975"	0.135150658691371	1	323.850325562245	245.550008349819	536.599666087935	0
"SAMPLE844"	0.141434243140953	1	307.264553815148	294.131036202306	504.604409982545	0
"SAMPLE374"	0.141457735182376	1	267.979564307378	259.893673121983	578.126762570638	0
"SAMPLE560"	0.158635162103062	1	190.779695741282	253.93305584301	661.287248415708	0
"SAMPLE973"	0.159538796537126	1	313.637493577934	249.629197524358	542.733308897708	0
"SAMPLE768"	0.160281442919972	1	397.38673664327	301.812295006392	406.800968350338	0
"SAMPLE162"	0.16346276463985	1	219.208015453328	268.018759509188	618.773225037485	0
"SAMPLE605"	0.164759620198456	1	339.404747770293	261.476035993668	505.119216236039	0
"SAMPLE916"	0.165227886810988	1	290.303511981794	314.080096591145	501.616391427061	0
"SAMPLE584"	0.171255394483074	1	387.851883466908	311.348009891585	406.800106641507	0
"SAMPLE718"	0.172284262635333	1	356.056452595635	275.246837124019	474.696710280346	0
"SAMPLE870"	0.172294971322751	1	347.33795916384	289.719913077892	468.942127758268	0
"SAMPLE331"	0.172688504763729	1	306.820011138174	302.321908339383	496.858080522443	0
"SAMPLE282"	0.176860422415841	1	285.42000864784	288.735277785245	531.844713566915	0
"SAMPLE503"	0.179217667715387	1	379.069310035544	299.041491377618	427.889198586838	0
"SAMPLE890"	0.17939501347155	1	332.674992969515	260.010172139688	513.314834890797	0
"SAMPLE895"	0.180665961916813	1	308.019365541812	317.274048484724	480.706585973464	0
"SAMPLE137"	0.18087265372468	1	278.721676751775	286.15041010515	541.127913143075	0
"SAMPLE963"	0.186227247434344	1	358.465720948062	274.655343040251	472.878936011687	0
"SAMPLE697"	0.199776188023005	1	351.588058891252	297.526290210517	456.885650898231	0
"SAMPLE415"	0.202068041400712	1	346.295191330119	281.647549912057	478.057258757824	0
"SAMPLE353"	0.207952526677763	1	326.703832538081	258.835944693734	520.460222768185	0
"SAMPLE377"	0.211939918716582	1	314.003991743507	289.083256980451	502.912751276043	0
"SAMPLE54"	0.215803436264166	1	322.775802976473	268.054986041102	515.169210982425	0
"SAMPLE889"	0.221122875317722	1	307.519413016718	285.789354345337	512.691232637945	0
"SAMPLE506"	0.222667767354443	1	202.937989397564	286.168841788855	616.893168813581	0
"SAMPLE45"	0.224483573005403	1	397.148862611288	265.258979353517	443.592158035196	0
"SAMPLE900"	0.22486025139718	1	337.081436318752	234.331118383029	534.587445298219	0
"SAMPLE56"	0.227660087551374	1	313.671544911188	283.389715605343	508.938739483469	0
"SAMPLE116"	0.227927549255028	1	358.964154118195	335.868960835882	411.166885045923	0
"SAMPLE288"	0.233769258006678	1	353.991096249694	334.397243590077	417.611660160229	0
"SAMPLE383"	0.234627706933708	1	318.629405436088	223.367073526814	564.003521037099	0
"SAMPLE38"	0.23556662359635	1	202.549310629982	275.313125979223	628.137563390795	0
