Project Name	SMARCB1 279del IVG 28.02.23	Assays	1																		
User Name	94161@hospitaldelmar.cat	Samples	13																		
Created by	94161@hospitaldelmar.cat	Chips	23																		
Created on	02/28/23 03:26 PM	Confidence Level	95.00%																		
Last modified on	03/01/23 08:34 AM	Desired Precision	10.00%																		
Application version	3.1.6-PRC-build18	Algorithm version	4.4.10																		
Project Description		Algorithm Type	PoissonPlus																		
Threshold for Rare Calls	-100																				
Comments																					
																					
[Rare Target Results]																					
Assay	Sample	Target/Total	CI Target/Total	Copies/microliter (VIC)	CI Copies/microliter (VIC)	Precision (VIC)	Copies/microliter (FAM)	CI Copies/microliter (FAM)	Precision (FAM)	Chips	Recommendation										
SSMARCB1 279delIVG	H2O	NA	NA	0	NA	NA	0	NA	NA	1											
SSMARCB1 279delIVG	SP4381	41.68%	39.401% -- 44.048%	255.38	249.17 -- 261.75	2.49%	182.51	177.35 -- 187.83	2.91%	2											
SSMARCB1 279delIVG	M09 735	4.92E-2%	2.16E-2% -- 0.115%	773.38	760.5 -- 786.49	1.69%	0.477	0.264 -- 0.862	80.57%	2											
SSMARCB1 279delIVG	B19 9912	1.14E-2%	3.01E-3% -- 4.17E-2%	1324.7	1306.5 -- 1343.1	1.39%	0.151	5.67E-2 -- 0.403	166.45%	2											
SSMARCB1 279delIVG	C- 69185	0.00%	NA	923.5	903.89 -- 943.54	2.17%	0	NA	NA	1											
SSMARCB1 279delIVG	N19-33.1	13.44%	1.145% -- 1.573%	969.43	955.03 -- 984.05	1.51%	13251	11.928 -- 14.722	11.10%	2											
SSMARCB1 279delIVG	N19-33.2	0.23%	0.147% -- 0.379%	1164.3	1143.2 -- 1185.7	1.84%	2314	1.716 -- 3.119	34.84%	2											
SSMARCB1 279delIVG	N19-33.3	0.14%	9.18E-2% -- 0.212%	1296.9	1278.6 -- 1315.4	1.43%	1824	1.367 -- 2.436	33.51%	2											
SSMARCB1 279delIVG	N19-33.4	0.74%	0.56% -- 0.967%	553.19	543.24 -- 563.33	1.83%	4317	3.581 -- 5.204	20.55%	2											
SSMARCB1 279delIVG	N19-33.5	0.31%	0.219% -- 0.447%	739.57	727.72 -- 751.61	1.63%	2377	1.857 -- 3.043	28.01%	2											
SSMARCB1 279delIVG	N19-33.7	NA	NA	1324.5	1324.5 -- 1324.5	1.42%	1324.5	1324.5 -- 1324.5	0.00%	2											
SSMARCB1 279delIVG	N19-33.8	NA	NA	1324.5	1324.5 -- 1324.5	1.33%	1324.5	1324.5 -- 1324.5	0.00%	2											
SSMARCB1 279delIVG	C+ RT003 P2G5	48.38%	45.587% -- 51.297%	171.88	164.84 -- 179.22	4.27%	161.09	154.29 -- 168.18	4.40%	1											
																					
[Quantification Results]																					
Assay	Target	Sample	Copies/microliter	CI Copies/microliter	Precision	Chips	Recommendation														
SSMARCB1 279delIVG	FAM	H2O	0	NA	NA	1															
SSMARCB1 279delIVG	VIC	H2O	0	NA	NA	1															
SSMARCB1 279delIVG	FAM	SP4381	182.51	177.35 -- 187.83	2.91%	2															
SSMARCB1 279delIVG	VIC	SP4381	255.38	249.17 -- 261.75	2.49%	2															
SSMARCB1 279delIVG	FAM	M09 735	0.477	0.264 -- 0.862	80.57%	2															
SSMARCB1 279delIVG	VIC	M09 735	773.38	760.5 -- 786.49	1.69%	2															
SSMARCB1 279delIVG	FAM	B19 9912	0.151	5.67E-2 -- 0.403	166.45%	2															
SSMARCB1 279delIVG	VIC	B19 9912	1324.7	1306.5 -- 1343.1	1.39%	2															
SSMARCB1 279delIVG	FAM	C- 69185	0	NA	NA	1															
SSMARCB1 279delIVG	VIC	C- 69185	923.5	903.89 -- 943.54	2.17%	1															
SSMARCB1 279delIVG	FAM	N19-33.1	13251	11.928 -- 14.722	11.10%	2															
SSMARCB1 279delIVG	VIC	N19-33.1	969.43	955.03 -- 984.05	1.51%	2															
SSMARCB1 279delIVG	FAM	N19-33.2	2314	1.716 -- 3.119	34.84%	2															
SSMARCB1 279delIVG	VIC	N19-33.2	1164.3	1143.2 -- 1185.7	1.84%	2															
SSMARCB1 279delIVG	FAM	N19-33.3	1824	1.367 -- 2.436	33.51%	2															
SSMARCB1 279delIVG	VIC	N19-33.3	1296.9	1278.6 -- 1315.4	1.43%	2															
SSMARCB1 279delIVG	FAM	N19-33.4	4317	3.581 -- 5.204	20.55%	2															
SSMARCB1 279delIVG	VIC	N19-33.4	553.19	543.24 -- 563.33	1.83%	2															
SSMARCB1 279delIVG	FAM	N19-33.5	2377	1.857 -- 3.043	28.01%	2															
SSMARCB1 279delIVG	VIC	N19-33.5	739.57	727.72 -- 751.61	1.63%	2															
SSMARCB1 279delIVG	FAM	N19-33.7	0	NA	NA	2															
SSMARCB1 279delIVG	VIC	N19-33.7	1142.4	1126.4 -- 1158.6	1.42%	2															
SSMARCB1 279delIVG	FAM	N19-33.8	0	NA	NA	2															
SSMARCB1 279delIVG	VIC	N19-33.8	1807.4	1783.6 -- 1831.5	1.33%	2															
SSMARCB1 279delIVG	FAM	C+ RT003 P2G5	161.09	154.29 -- 168.18	4.40%	1															
SSMARCB1 279delIVG	VIC	C+ RT003 P2G5	171.88	164.84 -- 179.22	4.27%	1															
																					
[Replicates]																					
Assay	Sample	Dilution	Chip	Target/Total	CI Target/Total	Copies/Rxn (VIC)	CI Copies/Rxn (VIC)	Copies/Rxn (FAM)	CI Copies/Rxn (FAM)	Copies/microliter (VIC)	CI Copies/microliter (VIC)	Copies/microliter (FAM)	CI Copies/microliter (FAM)	# of Neg (VIC)	# of Neg (FAM)	# of Undetermined	# qualified by QT	# of Filled	Run Date	instrumentName	Comment
SSMARCB1 279delIVG	H2O	1	230228_152000_E01VDQ.eds	NA	NA	0	NA	0	NA	0	NA	0	NA	17518	17518	2	17520	18716	02/28/23 03:20 PM	137270153	
SSMARCB1 279delIVG	SP4381	1	230228_151120_E01WGA.eds	42032.00%	39.747% -- 44.408%	0.19	0.184 -- 0.197	0.138	0.133 -- 0.144	252	243.37 -- 260.93	182.73	175.5 -- 190.25	15205	16020	22	18410	19796	02/28/23 03:11 PM	137270153	
SSMARCB1 279delIVG	SP4381	1	230228_150719_E01V51.eds	41328.00%	39.057% -- 43.69%	0.195	0.189 -- 0.202	0.138	0.132 -- 0.143	258.8	249.95 -- 267.97	182.3	175 -- 189.9	14786	15664	26	18000	19060	02/28/23 03:07 PM	137270153	
SSMARCB1 279delIVG	M09 735	1	230228_151523_E01P0O.eds	9.13E-2%	4.56E-2% -- 0.181%	0.513	0.5 -- 0.525	4.68E-04	2.34E-4 -- 9.36E-4	678.89	662.78 -- 695.38	0.62	0.31 -- 1.24	10250	17085	11	17104	17917	02/28/23 03:15 PM	137270153	
SSMARCB1 279delIVG	M09 735	1	230228_150901_E01VVW.eds	2.71E-2%	8.97E-3% -- 8.00E-2%	0.662	0.646 -- 0.677	1.79E-04	5.78E-5 -- 5.56E-4	876.47	856.09 -- 897.33	0.237	7.65E-2 -- 0.736	8835	16687	8	16698	18565	02/28/23 03:09 PM	137270153	
SSMARCB1 279delIVG	B19 9912	1	230228_151034_E01WR7.eds	1.12E-2%	2.96E-3% -- 4.10E-2%	1001	0.981 -- 1.02	1.12E-04	2.81E-5 -- 4.49E-4	1325.3	1299.9 -- 1351.2	0.149	3.72E-2 -- 0.594	6584	17818	2	17822	19711	02/28/23 03:10 PM	137270153	
SSMARCB1 279delIVG	B19 9912	1	230228_151438_E01VV1.eds	1.16E-2%	3.06E-3% -- 4.25E-2%	1	0.98 -- 1.019	1.16E-04	2.90E-5 -- 4.64E-4	1324	1298.2 -- 1350.3	0.154	3.84E-2 -- 0.615	6371	17231	10	17243	19205	02/28/23 03:14 PM	137270153	
SSMARCB1 279delIVG	C- 69185	1	230228_150518_E01W9O.eds	0.00%	NA	0.697	0.682 -- 0.712	0	NA	923.5	903.89 -- 943.54	0	NA	8720	17465	12	17477	19392	02/28/23 03:05 PM	137270153	
SSMARCB1 279delIVG	N19-33.1	1	230228_151253_E0290E.eds	1439.00%	1.23% -- 1.678%	0.727	0.711 -- 0.742	1.06E-02	9.17E-3 -- 1.23E-2	962.33	942.03 -- 983.07	14046	12.147 -- 16.243	8365	17072	19	17273	19188	02/28/23 03:12 PM	137270153	
SSMARCB1 279delIVG	N19-33.1	1	230228_151914_E0285G.eds	1257.00%	1.067% -- 1.476%	0.737	0.722 -- 0.753	9.38E-03	8.05E-3 -- 1.09E-2	976.39	956.08 -- 997.13	12427	10.668 -- 14.476	8485	17505	22	17692	19323	02/28/23 03:19 PM	137270153	
SSMARCB1 279delIVG	N19-33.2	1	230228_151743_E01Z4C.eds	0.20%	0.142% -- 0.272%	1095	1.074 -- 1.116	2.16E-03	1.58E-3 -- 2.96E-3	1450.3	1423.1 -- 1477.9	2864	2.092 -- 3.919	6075	18019	2	18060	19401	02/28/23 03:17 PM	137270153	
SSMARCB1 279delIVG	N19-33.2	1	230228_150946_E01YW9.eds	0.49%	0.191% -- 1.273%	4.40E-02	4.10E-2 -- 4.72E-2	2.18E-04	8.19E-5 -- 5.81E-4	58278	54.349 -- 62.49	0.289	0.108 -- 0.77	17542	18327	11	18342	19628	02/28/23 03:09 PM	137270153	
SSMARCB1 279delIVG	N19-33.3	1	230228_150348_E01V46.eds	0.13%	8.26E-2% -- 0.194%	1049	1.028 -- 1.07	1.34E-03	8.80E-4 -- 2.03E-3	1389.2	1361.8 -- 1417.1	1771	1.166 -- 2.69	5794	16443	6	16471	18772	02/28/23 03:03 PM	137270153	
SSMARCB1 279delIVG	N19-33.3	1	230228_151607_E01W5N.eds	0.16%	0.103% -- 0.232%	0.912	0.894 -- 0.931	1.42E-03	9.49E-4 -- 2.11E-3	1208.4	1184.2 -- 1233.1	1875	1.257 -- 2.797	6833	16943	13	16980	18553	02/28/23 03:16 PM	137270153	
SSMARCB1 279delIVG	N19-33.4	1	230228_150604_E028ZW.eds	0.62%	0.454% -- 0.848%	0.379	0.369 -- 0.389	2.37E-03	1.75E-3 -- 3.22E-3	502.28	489.03 -- 515.88	3141	2.313 -- 4.267	11851	17266	3	17310	18603	02/28/23 03:06 PM	137270153	
SSMARCB1 279delIVG	N19-33.4	1	230228_150304_E01QIQ.eds	0.86%	0.674% -- 1.095%	0.454	0.443 -- 0.465	3.94E-03	3.11E-3 -- 4.99E-3	600.97	586.28 -- 616.04	5215	4.119 -- 6.603	11163	17490	8	17567	19148	02/28/23 03:03 PM	137270153	
SSMARCB1 279delIVG	N19-33.5	1	230228_152049_E01Q09.eds	0.36%	0.255% -- 0.498%	0.569	0.556 -- 0.582	2.04E-03	1.47E-3 -- 2.83E-3	753.5	736.54 -- 770.85	2702	1.949 -- 3.747	10013	17626	10	17672	19281	02/28/23 03:20 PM	137270153	
