ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000134250	NOTCH2	ENSP00000256646	ENST00000256646
ENSG00000116128	BCL9	ENSP00000234739	ENST00000234739
ENSG00000178104	PDE4DIP	ENSP00000358363	ENST00000369356
ENSG00000143437	ARNT	ENSP00000351407	ENST00000358595
ENSG00000143379	SETDB1	ENSP00000271640	ENST00000271640
ENSG00000143556	S100A7	ENSP00000357711	ENST00000368722
ENSG00000160685	ZBTB7B	ENSP00000406286	ENST00000417934
ENSG00000198400	NTRK1	ENSP00000431418	ENST00000524377
ENSG00000163518	FCRL4	ENSP00000271532	ENST00000271532
ENSG00000072694	FCGR2B	ENSP00000351497	ENST00000358671
ENSG00000162733	DDR2	ENSP00000356899	ENST00000367922
ENSG00000143322	ABL2	ENSP00000427562	ENST00000502732
ENSG00000135829	DHX9	ENSP00000356520	ENST00000367549
ENSG00000047410	TPR	ENSP00000356448	ENST00000367478
ENSG00000134371	CDC73	ENSP00000356405	ENST00000367435
ENSG00000081237	PTPRC	ENSP00000411355	ENST00000442510
ENSG00000163435	ELF3	ENSP00000352673	ENST00000359651
ENSG00000159388	BTG2	ENSP00000290551	ENST00000290551
ENSG00000198625	MDM4	ENSP00000356150	ENST00000367182
ENSG00000152104	PTPN14	ENSP00000355923	ENST00000366956
ENSG00000143748	NVL	ENSP00000281701	ENST00000281701
ENSG00000163041	H3-3A	ENSP00000355780	ENST00000366815
ENSG00000155816	FMN2	ENSP00000318884	ENST00000319653
ENSG00000182901	RGS7	ENSP00000355523	ENST00000366565
ENSG00000091483	FH	ENSP00000355518	ENST00000366560
ENSG00000117020	AKT3	ENSP00000500582	ENST00000673466
ENSG00000183508	TENT5C	ENSP00000358458	ENST00000369448
ENSG00000116815	CD58	ENSP00000358501	ENST00000369489
ENSG00000163399	ATP1A1	ENSP00000445306	ENST00000537345
ENSG00000213281	NRAS	ENSP00000358548	ENST00000369535
ENSG00000197323	TRIM33	ENSP00000351250	ENST00000358465
ENSG00000162775	RBM15	ENSP00000358799	ENST00000369784
ENSG00000122406	RPL5	ENSP00000359345	ENST00000370321
ENSG00000142867	BCL10	ENSP00000498104	ENST00000648566
ENSG00000162613	FUBP1	ENSP00000359804	ENST00000370768
ENSG00000162434	JAK1	ENSP00000499900	ENST00000672434
ENSG00000177606	JUN	ENSP00000360266	ENST00000371222
ENSG00000117318	ID3	ENSP00000363689	ENST00000374561
ENSG00000158062	UBXN11	ENSP00000363339	ENST00000374222
ENSG00000117713	ARID1A	ENSP00000320485	ENST00000324856
ENSG00000060656	PTPRU	ENSP00000334941	ENST00000345512
ENSG00000119535	CSF3R	ENSP00000362195	ENST00000373103
ENSG00000116954	RRAGC	ENSP00000362092	ENST00000373001
ENSG00000117400	MPL	ENSP00000361548	ENST00000372470
ENSG00000162367	TAL1	ENSP00000294339	ENST00000294339
ENSG00000123473	STIL	ENSP00000360944	ENST00000371877
ENSG00000123080	CDKN2C	ENSP00000262662	ENST00000262662
ENSG00000085832	EPS15	ENSP00000360798	ENST00000371733
ENSG00000074964	ARHGEF10L	ENSP00000355060	ENST00000361221
ENSG00000142798	HSPG2	ENSP00000363827	ENST00000374695
ENSG00000065526	SPEN	ENSP00000364912	ENST00000375759
ENSG00000142627	EPHA2	ENSP00000351209	ENST00000358432
ENSG00000116731	PRDM2	ENSP00000235372	ENST00000235372
ENSG00000197530	MIB2	ENSP00000426103	ENST00000505820
ENSG00000215790	SLC35E2A	ENSP00000495949	ENST00000643905
ENSG00000157873	TNFRSF14	ENSP00000347948	ENST00000355716
ENSG00000142611	PRDM16	ENSP00000270722	ENST00000270722
ENSG00000116251	RPL22	ENSP00000346088	ENST00000234875
ENSG00000204859	ZBTB48	ENSP00000366902	ENST00000377674
ENSG00000171735	CAMTA1	ENSP00000306522	ENST00000303635
ENSG00000049246	PER3	ENSP00000482093	ENST00000613533
ENSG00000130940	CASZ1	ENSP00000366221	ENST00000377022
ENSG00000198793	MTOR	ENSP00000354558	ENST00000361445
ENSG00000067082	KLF6	ENSP00000419923	ENST00000497571
ENSG00000107485	GATA3	ENSP00000368632	ENST00000379328
ENSG00000148516	ZEB1	ENSP00000354487	ENST00000361642
ENSG00000170759	KIF5B	ENSP00000307078	ENST00000302418
ENSG00000095794	CREM	ENSP00000265372	ENST00000345491
ENSG00000165731	RET	ENSP00000347942	ENST00000355710
ENSG00000108091	CCDC6	ENSP00000263102	ENST00000263102
ENSG00000122877	EGR2	ENSP00000242480	ENST00000242480
ENSG00000138336	TET1	ENSP00000362748	ENST00000373644
ENSG00000156650	KAT6B	ENSP00000287239	ENST00000287239
ENSG00000107779	BMPR1A	ENSP00000361107	ENST00000372037
ENSG00000214562	NUTM2D	ENSP00000371116	ENST00000381697
ENSG00000171862	PTEN	ENSP00000361021	ENST00000371953
ENSG00000026103	FAS	ENSP00000498466	ENST00000652046
ENSG00000107864	CPEB3	ENSP00000265997	ENST00000265997
ENSG00000138115	CYP2C8	ENSP00000360317	ENST00000371270
ENSG00000198728	LDB1	ENSP00000501277	ENST00000673968
ENSG00000077150	NFKB2	ENSP00000358983	ENST00000369966
ENSG00000107882	SUFU	ENSP00000358918	ENST00000369902
ENSG00000148737	TCF7L2	ENSP00000486891	ENST00000627217
ENSG00000066468	FGFR2	ENSP00000410294	ENST00000457416
ENSG00000174775	HRAS	ENSP00000407586	ENST00000451590
ENSG00000184956	MUC6	ENSP00000406861	ENST00000421673
ENSG00000133818	RRAS2	ENSP00000256196	ENST00000256196
ENSG00000183161	FANCF	ENSP00000330875	ENST00000327470
ENSG00000184937	WT1	ENSP00000368370	ENST00000379079
ENSG00000134574	DDB2	ENSP00000256996	ENST00000256996
ENSG00000162231	NXF1	ENSP00000436679	ENST00000532297
ENSG00000072518	MARK2	ENSP00000385751	ENST00000402010
ENSG00000173153	ESRRA	ENSP00000384851	ENST00000405666
ENSG00000133895	MEN1	ENSP00000337088	ENST00000337652
ENSG00000173039	RELA	ENSP00000384273	ENST00000406246
ENSG00000172927	MYEOV	ENSP00000412482	ENST00000441339
ENSG00000110092	CCND1	ENSP00000227507	ENST00000227507
ENSG00000137497	NUMA1	ENSP00000377298	ENST00000393695
ENSG00000165458	INPPL1	ENSP00000298229	ENST00000298229
ENSG00000073921	PICALM	ENSP00000377015	ENST00000393346
ENSG00000204449	TRIM49C	ENSP00000388299	ENST00000448984
ENSG00000165323	FAT3	ENSP00000387040	ENST00000409404
ENSG00000184384	MAML2	ENSP00000434552	ENST00000524717
ENSG00000023445	BIRC3	ENSP00000263464	ENST00000263464
ENSG00000149311	ATM	ENSP00000278616	ENST00000278616
ENSG00000109906	ZBTB16	ENSP00000338157	ENST00000335953
ENSG00000118058	KMT2A	ENSP00000436786	ENST00000534358
ENSG00000110367	DDX6	ENSP00000478754	ENST00000620157
ENSG00000186174	BCL9L	ENSP00000335320	ENST00000334801
ENSG00000110395	CBL	ENSP00000264033	ENST00000264033
ENSG00000196914	ARHGEF12	ENSP00000380942	ENST00000397843
ENSG00000118971	CCND2	ENSP00000502654	ENST00000676411
ENSG00000111642	CHD4	ENSP00000440542	ENST00000544040
ENSG00000111679	PTPN6	ENSP00000391592	ENST00000456013
ENSG00000139083	ETV6	ENSP00000379658	ENST00000396373
ENSG00000111266	DUSP16	ENSP00000298573	ENST00000298573
ENSG00000111276	CDKN1B	ENSP00000228872	ENST00000228872
ENSG00000171681	ATF7IP	ENSP00000440440	ENST00000544627
ENSG00000139163	ETNK1	ENSP00000500633	ENST00000671733
ENSG00000133703	KRAS	ENSP00000256078	ENST00000256078
ENSG00000139168	ZCRB1	ENSP00000266529	ENST00000266529
ENSG00000189079	ARID2	ENSP00000335044	ENST00000334344
ENSG00000139219	COL2A1	ENSP00000369889	ENST00000380518
ENSG00000167548	KMT2D	ENSP00000301067	ENST00000301067
ENSG00000066117	SMARCD1	ENSP00000378414	ENST00000394963
ENSG00000135503	ACVR1B	ENSP00000442656	ENST00000541224
ENSG00000123364	HOXC13	ENSP00000243056	ENST00000243056
ENSG00000065361	ERBB3	ENSP00000267101	ENST00000267101
ENSG00000166888	STAT6	ENSP00000300134	ENST00000300134
ENSG00000111087	GLI1	ENSP00000228682	ENST00000228682
ENSG00000135446	CDK4	ENSP00000257904	ENST00000257904
ENSG00000139263	LRIG3	ENSP00000326759	ENST00000320743
ENSG00000135679	MDM2	ENSP00000258149	ENST00000258149
ENSG00000127329	PTPRB	ENSP00000334928	ENST00000334414
ENSG00000133639	BTG1	ENSP00000256015	ENST00000256015
ENSG00000111252	SH2B3	ENSP00000345492	ENST00000341259
ENSG00000111275	ALDH2	ENSP00000261733	ENST00000261733
ENSG00000179295	PTPN11	ENSP00000489597	ENST00000635625
ENSG00000135144	DTX1	ENSP00000257600	ENST00000257600
ENSG00000135111	TBX3	ENSP00000257566	ENST00000257566
ENSG00000135100	HNF1A	ENSP00000438804	ENST00000544413
ENSG00000139718	SETD1B	ENSP00000474253	ENST00000604567
ENSG00000110987	BCL7A	ENSP00000445868	ENST00000538010
ENSG00000130779	CLIP1	ENSP00000479322	ENST00000620786
ENSG00000255398	HCAR3	ENSP00000436714	ENST00000528880
ENSG00000183955	KMT5A	ENSP00000384629	ENST00000402868
ENSG00000196498	NCOR2	ENSP00000384018	ENST00000405201
ENSG00000177169	ULK1	ENSP00000324560	ENST00000321867
ENSG00000177084	POLE	ENSP00000322570	ENST00000320574
ENSG00000121390	PSPC1	ENSP00000343966	ENST00000338910
ENSG00000121741	ZMYM2	ENSP00000479904	ENST00000610343
ENSG00000150457	LATS2	ENSP00000372035	ENST00000382592
ENSG00000102699	PARP4	ENSP00000371419	ENST00000381989
ENSG00000127870	RNF6	ENSP00000371000	ENST00000381588
ENSG00000165556	CDX2	ENSP00000370408	ENST00000381020
